config,short_tm_name,spearman_correlation,pearson_correlation,cluster_ordering,rotation,distance_consistency,silhouette_coefficient,trustworthiness,continuity,local_continuity,mrre_missing,mrre_false,label_preservation,file_name_1,file_name_2
mds,BOW,0.5248626241746004,0.5164557937641308,0.0641735228122662,157.3276134259164,0.0040657592363443,0.0001734526658095,0.5903933985448213,0.5870548703017056,0.0149498177820112,0.5902546959516838,0.5869698340021988,0.2832899820702588,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_100_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,0.5247180663933241,0.5162944392137209,0.1525375393107551,-37.12566097918752,0.0034470567438571,0.0003745875826707,0.5884551763964935,0.5905767917373259,0.0152149759930771,0.5896483713218855,0.5923808053239326,0.2866360261622818,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_200_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,1.0,0.9999999999999996,1.0,78.98817079345113,0.0,0.0,1.0,1.0,0.9993812428179968,1.0,1.0,1.0,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_200_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_250_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,1.0,0.9999999999999996,1.0,78.98817079345113,0.0,0.0,1.0,1.0,0.9993812428179968,1.0,1.0,1.0,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_250_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_300_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,0.9960273735379824,0.9970329008500408,0.9815087456862052,168.5950191378988,0.0005303164221318,2.1336650247394395e-05,0.9947359912513374,0.9946726974815384,0.2497411003901579,0.9944983664655962,0.9944387734387156,0.4249349731053927,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_100_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,0.9983665304882362,0.9987706941210788,0.9904840635620468,-153.31834069516432,0.001149018914619,4.62352678021194e-06,0.99798909597334,0.9979372245512032,0.3767266303277826,0.9977960299744184,0.9977417185228934,0.5062375312507857,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_200_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,0.718258685121033,0.7093713346795376,-0.0244581786053265,-109.35227533448752,0.0019444935478168,7.310962299583723e-05,0.6058168800903748,0.6054676042481142,0.0135482672378055,0.6051714530372712,0.6057798326819308,0.294098335816567,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_200_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_250_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,BOW,1.0,0.9999999999999996,1.0,133.10302346102853,0.0,0.0,1.0,1.0,0.9993812428179968,1.0,1.0,1.0,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_250_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_tfidf_True_cosine_300_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,LDA,0.5248626241746368,0.5164557937641309,0.0641735228122662,157.32761342608077,0.0040657592363443,0.000173452665809,0.5903933985448213,0.5870548703017056,0.0149498177820112,0.5902546959516838,0.5869698340021988,0.2832899820702588,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_100_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
mds,LDA,0.5247180663933373,0.516294439213721,0.1525375393107551,-37.12566097919127,0.0034470567438571,0.0003745875826705,0.5884551763964935,0.5905767917373259,0.0152149759930771,0.5896483713218855,0.5923808053239326,0.2866360261622818,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_150_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy,20_newsgroups/random_seed_0/jitter_amount_0.0/mds_20_newsgroups_bow_True_cosine_200_58aaa17c4ffbd81_6377d5b9c5fe1a5.npy
