jitter_1,jitter_2,spearman_correlation,pearson_correlation,cluster_ordering,rotation,distance_consistency,silhouette_coefficient,trustworthiness,continuity,local_continuity,mrre_missing,mrre_false,label_preservation,file_name_1,file_name_2,config,TM
0.0,0.1,0.3637774859573228,0.3383713300658306,0.1389610389610389,5.816886575029313,0.0693955868244324,0.1056147623528734,0.9317493983384836,0.9453479719797596,0.0820953138570055,0.9282915708455838,0.9409209348371136,0.7066563113892963,seven_categories/random_seed_0/jitter_amount_0.0/som_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5_10_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/som_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5_10_28d047b098c287e_68f116ef5f2d18c.npy,som,bert_all_mpnet_base_v2
0.0,0.1,1.0,1.0,1.0,20.789760292920715,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_5.0_12.0_359.0_10000_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_5.0_12.0_359.0_10000_random_barnes_hut_0.5_cosine_28d047b098c287e_495b4da8a86beae.npy,tsne,bert_all_distilroberta_v1
0.0,0.1,1.0,1.0,1.0,5.829844241862421,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_15.0_12.0_10.0_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_15.0_12.0_10.0_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_495b4da8a86beae.npy,tsne,bert_all_distilroberta_v1
0.0,0.1,1.0,0.9999999999999996,1.0,8.750375640718886,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_15.0_12.0_10.0_10000_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_bert_all_distilroberta_v1_n_categories_7_15.0_12.0_10.0_10000_random_barnes_hut_0.5_cosine_28d047b098c287e_495b4da8a86beae.npy,tsne,bert_all_distilroberta_v1
0.0,0.1,1.0,1.0,1.0,-20.35337558269621,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5.0_12.0_auto_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5.0_12.0_auto_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68f116ef5f2d18c.npy,tsne,bert_all_mpnet_base_v2
0.0,0.1,1.0,1.0,1.0,6.430297296744111,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_bert_all_mpnet_base_v2_n_categories_7_15.0_12.0_28.0_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_bert_all_mpnet_base_v2_n_categories_7_15.0_12.0_28.0_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68f116ef5f2d18c.npy,tsne,bert_all_mpnet_base_v2
0.0,0.1,1.0,1.0,1.0,-119.97969170642877,0.0,0.0,1.0,1.0,0.9977607165706976,1.0,1.0,1.0,seven_categories/random_seed_0/jitter_amount_0.0/umap_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5_0.99_cosine_1.0_1.0_1_1.0_5_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/umap_seven_categories_bert_all_mpnet_base_v2_n_categories_7_5_0.99_cosine_1.0_1.0_1_1.0_5_28d047b098c287e_68f116ef5f2d18c.npy,umap,bert_all_mpnet_base_v2
0.0,0.1,0.9675115696878964,0.9735469526691152,0.9922077922077924,81.70720243997043,0.0047969299648225,0.005690474063158,0.960825541120032,0.9602589204453252,0.1130240908682898,0.9600727263984736,0.9596627751523802,0.7139659189547326,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_doc2vec_n_topics_14_30.0_12.0_auto_250_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_doc2vec_n_topics_14_30.0_12.0_auto_250_random_barnes_hut_0.5_cosine_28d047b098c287e_00c9b4993f15e8a.npy,tsne,doc2vec
0.0,0.1,0.5952576038625116,0.6069039256945836,0.6987012987012987,-41.53596305278943,0.0591621362328109,0.0589644983410835,0.8938017354570683,0.8705717246152267,0.0953896626166565,0.8984500055473503,0.8756717082318141,0.7199049751016541,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_nmf_linear_combined_n_topics_14_25.0_12.0_auto_1000_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_nmf_linear_combined_n_topics_14_25.0_12.0_auto_1000_random_barnes_hut_0.5_cosine_28d047b098c287e_00c9b4993f15e8a.npy,tsne,nmf_linear_combined
0.0,0.1,0.4391294561314774,0.4533867689192044,0.6493506493506493,-1.1941137097371624,0.0661976335145507,0.0288256220519542,0.841779749865276,0.8491861962424371,0.0713136426979759,0.8466670178882553,0.8532127796669092,0.7228745031751137,seven_categories/random_seed_0/jitter_amount_0.0/tsne_seven_categories_nmf_tfidf_n_topics_14_55.0_12.0_auto_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_68fe285025d5175.npy,seven_categories/random_seed_0/jitter_amount_0.1/tsne_seven_categories_nmf_tfidf_n_topics_14_55.0_12.0_auto_2500_random_barnes_hut_0.5_cosine_28d047b098c287e_00c9b4993f15e8a.npy,tsne,nmf_tfidf
