config,short_tm_name,spearman_correlation,pearson_correlation,cluster_ordering,rotation,distance_consistency,silhouette_coefficient,trustworthiness,continuity,local_continuity,mrre_missing,mrre_false,label_preservation,file_name_1,file_name_2
mds,BOW,1.0,1.0,1.0,90.25544419334884,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_200_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy
mds,BOW,1.0,1.0,1.0,90.25544419334884,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_300_5ad95743651b7e9_3d277e052890f1a.npy
mds,BOW,0.9978123985810649,0.9982450516861542,0.8857142857142858,6.999830074435819,0.0004547521600727,7.632869009094323e-06,0.996441360889488,0.9963722360534194,0.306970643058838,0.9961862789550614,0.9961489396204064,0.7250698369388149,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_100_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_150_5ad95743651b7e9_3d277e052890f1a.npy
mds,BOW,0.9999567513063036,0.9999651525164388,1.0,16.725360156885653,0.0002728512960436,2.523968245515817e-08,0.9999332705263396,0.9999330978236672,0.8263625744562265,0.9998584761184144,0.9998559468121804,0.8947183784837814,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_150_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_200_5ad95743651b7e9_3d277e052890f1a.npy
mds,BOW,1.0,1.0,1.0,18.84765260533796,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_200_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy
mds,BOW,1.0,1.0,1.0,18.84765260533796,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_tfidf_True_cosine_300_5ad95743651b7e9_3d277e052890f1a.npy
mds,LDA,0.6978348740375971,0.6653604416730008,0.5428571428571429,115.13471703257872,0.0050022737608003,0.0011030101262787,0.6064437082263582,0.6063639018482924,0.0196452354060088,0.6066311626368226,0.6075444547155487,0.6740596374975149,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_100_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_150_5ad95743651b7e9_3d277e052890f1a.npy
mds,LDA,1.0,1.0,1.0,90.2554441933334,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_150_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_200_5ad95743651b7e9_3d277e052890f1a.npy
mds,LDA,1.0,1.0,1.0,90.25544419328858,0.0,6.938893903907227e-17,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_200_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy
mds,LDA,1.0,1.0,1.0,90.25544419329007,0.0,0.0,1.0,1.0,0.999363289066764,1.0,1.0,1.0,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_250_5ad95743651b7e9_3d277e052890f1a.npy,lyrics/random_seed_0/jitter_amount_0.0/mds_lyrics_bow_True_cosine_300_5ad95743651b7e9_3d277e052890f1a.npy
